Loading and expanding specs...
  4179 total tasks (~12537 rows)
  depth 0: 93 tasks
  depth 1: 2000 tasks
  depth 2: 2000 tasks
  depth 3: 83 tasks
  depth 4: 3 tasks

Generating real traces via GPT-4o mini (DeepSeek disabled via BTL_FORCE_OPENAI)...
  concurrency=128, max_tokens=2048, model=gpt-4o-mini
  saving incrementally to:
    train: C:\Users\pc\Downloads\btl\btl-1\data\real-traces\train.jsonl
    eval:  C:\Users\pc\Downloads\btl\btl-1\data\real-traces\eval.jsonl
  2750/4179 tasks done, cost: $0.3714 (ds: $0.0000, oai: $0.3714), incomplete: 0, failed: 0
  2800/4179 tasks done, cost: $0.3838 (ds: $0.0000, oai: $0.3838), incomplete: 0, failed: 0
  2900/4179 tasks done, cost: $0.3972 (ds: $0.0000, oai: $0.3972), incomplete: 0, failed: 0
  2850/4179 tasks done, cost: $0.3974 (ds: $0.0000, oai: $0.3974), incomplete: 0, failed: 0
  2950/4179 tasks done, cost: $0.4005 (ds: $0.0000, oai: $0.4005), incomplete: 0, failed: 0
  3050/4179 tasks done, cost: $0.4221 (ds: $0.0000, oai: $0.4221), incomplete: 0, failed: 0
  3100/4179 tasks done, cost: $0.4319 (ds: $0.0000, oai: $0.4319), incomplete: 0, failed: 0
  3000/4179 tasks done, cost: $0.4379 (ds: $0.0000, oai: $0.4379), incomplete: 0, failed: 0
  3150/4179 tasks done, cost: $0.4418 (ds: $0.0000, oai: $0.4418), incomplete: 0, failed: 0
  3200/4179 tasks done, cost: $0.4535 (ds: $0.0000, oai: $0.4535), incomplete: 0, failed: 0
  3250/4179 tasks done, cost: $0.4581 (ds: $0.0000, oai: $0.4581), incomplete: 0, failed: 0
  3300/4179 tasks done, cost: $0.4624 (ds: $0.0000, oai: $0.4624), incomplete: 0, failed: 0
  3350/4179 tasks done, cost: $0.4771 (ds: $0.0000, oai: $0.4771), incomplete: 0, failed: 0
  3400/4179 tasks done, cost: $0.4793 (ds: $0.0000, oai: $0.4793), incomplete: 0, failed: 0
  3500/4179 tasks done, cost: $0.4924 (ds: $0.0000, oai: $0.4924), incomplete: 0, failed: 0
  3450/4179 tasks done, cost: $0.4945 (ds: $0.0000, oai: $0.4945), incomplete: 0, failed: 0
