Loading and expanding specs...
  4179 total tasks (~12537 rows)
  depth 0: 93 tasks
  depth 1: 2000 tasks
  depth 2: 2000 tasks
  depth 3: 83 tasks
  depth 4: 3 tasks

Generating real traces via DeepSeek V4 Flash with GPT-4o mini fallback...
  concurrency=128, max_tokens=2048, deepseek_budget=$1.5000
  2250/4179 tasks done, running cost: $0.9347 (deepseek $0.9347, openai $0.0000), rows: 5488/6750, incomplete responses: 1465, failed calls: 0
  2300/4179 tasks done, running cost: $0.9599 (deepseek $0.9599, openai $0.0000), rows: 5606/6900, incomplete responses: 1514, failed calls: 0
  2350/4179 tasks done, running cost: $0.9650 (deepseek $0.9650, openai $0.0000), rows: 5632/7050, incomplete responses: 1523, failed calls: 0
  2400/4179 tasks done, running cost: $0.9798 (deepseek $0.9798, openai $0.0000), rows: 5715/7200, incomplete responses: 1543, failed calls: 0
  2450/4179 tasks done, running cost: $1.0167 (deepseek $1.0167, openai $0.0000), rows: 5888/7350, incomplete responses: 1611, failed calls: 0
  2500/4179 tasks done, running cost: $1.0477 (deepseek $1.0477, openai $0.0000), rows: 6021/7500, incomplete responses: 1676, failed calls: 0
  2550/4179 tasks done, running cost: $1.0730 (deepseek $1.0730, openai $0.0000), rows: 6137/7650, incomplete responses: 1718, failed calls: 0
  2600/4179 tasks done, running cost: $1.0804 (deepseek $1.0804, openai $0.0000), rows: 6170/7800, incomplete responses: 1732, failed calls: 0
  2650/4179 tasks done, running cost: $1.0907 (deepseek $1.0907, openai $0.0000), rows: 6221/7950, incomplete responses: 1751, failed calls: 0
  2700/4179 tasks done, running cost: $1.1156 (deepseek $1.1156, openai $0.0000), rows: 6353/8100, incomplete responses: 1789, failed calls: 0
  2750/4179 tasks done, running cost: $1.1543 (deepseek $1.1543, openai $0.0000), rows: 6515/8250, incomplete responses: 1869, failed calls: 0
  2800/4179 tasks done, running cost: $1.1646 (deepseek $1.1646, openai $0.0000), rows: 6574/8400, incomplete responses: 1882, failed calls: 0
  2850/4179 tasks done, running cost: $1.2044 (deepseek $1.2044, openai $0.0000), rows: 6759/8550, incomplete responses: 1955, failed calls: 0
  2900/4179 tasks done, running cost: $1.2093 (deepseek $1.2093, openai $0.0000), rows: 6780/8700, incomplete responses: 1968, failed calls: 0
  2950/4179 tasks done, running cost: $1.2491 (deepseek $1.2491, openai $0.0000), rows: 6977/8850, incomplete responses: 2029, failed calls: 0
  3000/4179 tasks done, running cost: $1.2633 (deepseek $1.2633, openai $0.0000), rows: 7049/9000, incomplete responses: 2051, failed calls: 0
  3050/4179 tasks done, running cost: $1.2903 (deepseek $1.2903, openai $0.0000), rows: 7172/9150, incomplete responses: 2100, failed calls: 0
  3100/4179 tasks done, running cost: $1.3004 (deepseek $1.3004, openai $0.0000), rows: 7224/9300, incomplete responses: 2115, failed calls: 0
  3150/4179 tasks done, running cost: $1.3276 (deepseek $1.3276, openai $0.0000), rows: 7342/9450, incomplete responses: 2170, failed calls: 0
  3200/4179 tasks done, running cost: $1.3813 (deepseek $1.3813, openai $0.0000), rows: 7598/9600, incomplete responses: 2262, failed calls: 0
  3250/4179 tasks done, running cost: $1.3947 (deepseek $1.3947, openai $0.0000), rows: 7654/9750, incomplete responses: 2291, failed calls: 0
  3300/4179 tasks done, running cost: $1.4046 (deepseek $1.4046, openai $0.0000), rows: 7691/9900, incomplete responses: 2313, failed calls: 0
  3350/4179 tasks done, running cost: $1.4156 (deepseek $1.4156, openai $0.0000), rows: 7738/10050, incomplete responses: 2335, failed calls: 0
  3400/4179 tasks done, running cost: $1.4392 (deepseek $1.4392, openai $0.0000), rows: 7855/10200, incomplete responses: 2378, failed calls: 0
  3450/4179 tasks done, running cost: $1.4833 (deepseek $1.4833, openai $0.0000), rows: 8066/10350, incomplete responses: 2452, failed calls: 0
  3500/4179 tasks done, running cost: $1.4920 (deepseek $1.4920, openai $0.0000), rows: 8107/10500, incomplete responses: 2468, failed calls: 0
